Klucz Geograficzny,Miasto,Kod Prowincji,Nazwa Prowincji,Kod Regionu,Kraj,Kod Pocztowy
1.0,Alexandria,NSW,New South Wales,AU,Australia,2015
2.0,Coffs Harbour,NSW,New South Wales,AU,Australia,2450
3.0,Darlinghurst,NSW,New South Wales,AU,Australia,2010
4.0,Goulburn,NSW,New South Wales,AU,Australia,2580
5.0,Lane Cove,NSW,New South Wales,AU,Australia,1597
6.0,Lavender Bay,NSW,New South Wales,AU,Australia,2060
7.0,Malabar,NSW,New South Wales,AU,Australia,2036
8.0,Matraville,NSW,New South Wales,AU,Australia,2036
9.0,Milsons Point,NSW,New South Wales,AU,Australia,2061
10.0,Newcastle,NSW,New South Wales,AU,Australia,2300
11.0,North Ryde,NSW,New South Wales,AU,Australia,2113
12.0,North Sydney,NSW,New South Wales,AU,Australia,2055
13.0,Port Macquarie,NSW,New South Wales,AU,Australia,2444
14.0,Rhodes,NSW,New South Wales,AU,Australia,2138
15.0,Silverwater,NSW,New South Wales,AU,Australia,2264
16.0,Springwood,NSW,New South Wales,AU,Australia,2777
17.0,St. Leonards,NSW,New South Wales,AU,Australia,2065
18.0,Sydney,NSW,New South Wales,AU,Australia,1002
19.0,Wollongong,NSW,New South Wales,AU,Australia,2500
20.0,Brisbane,QLD,Queensland,AU,Australia,4000
21.0,Caloundra,QLD,Queensland,AU,Australia,4551
22.0,East Brisbane,QLD,Queensland,AU,Australia,4169
23.0,Gold Coast,QLD,Queensland,AU,Australia,4217
24.0,Hawthorne,QLD,Queensland,AU,Australia,4171
25.0,Hervey Bay,QLD,Queensland,AU,Australia,4655
26.0,Rockhampton,QLD,Queensland,AU,Australia,4700
27.0,Townsville,QLD,Queensland,AU,Australia,4810
28.0,Cloverdale,SA,South Australia,AU,Australia,6105
29.0,Findon,SA,South Australia,AU,Australia,5023
30.0,Perth,SA,South Australia,AU,Australia,6006
31.0,Hobart,TAS,Tasmania,AU,Australia,7001
32.0,Bendigo,VIC,Victoria,AU,Australia,3550
33.0,Cranbourne,VIC,Victoria,AU,Australia,3977
34.0,Geelong,VIC,Victoria,AU,Australia,3220
35.0,Melbourne,VIC,Victoria,AU,Australia,3000
36.0,Melton,VIC,Victoria,AU,Australia,3337
37.0,Seaford,VIC,Victoria,AU,Australia,3198
38.0,South Melbourne,VIC,Victoria,AU,Australia,3205
39.0,Sunbury,VIC,Victoria,AU,Australia,3429
40.0,Warrnambool,VIC,Victoria,AU,Australia,3280
41.0,Calgary,AB,Alberta,CA,Kanada,T2P 2G8
42.0,Edmonton,AB,Alberta,CA,Kanada,T5
43.0,Burnaby,BC,British Columbia,CA,Kanada,V3J 6Z3
44.0,Burnaby,BC,British Columbia,CA,Kanada,V5A 3A6
45.0,Burnaby,BC,British Columbia,CA,Kanada,V5A 4X1
46.0,Burnaby,BC,British Columbia,CA,Kanada,V5G 4S4
47.0,Burnaby,BC,British Columbia,CA,Kanada,V5G 4W1
48.0,Burnaby,BC,British Columbia,CA,Kanada,V5H 3Z7
49.0,Cliffside,BC,British Columbia,CA,Kanada,V8Y 1L1
50.0,Haney,BC,British Columbia,CA,Kanada,V2W 1W2
51.0,Langford,BC,British Columbia,CA,Kanada,V9
52.0,Langley,BC,British Columbia,CA,Kanada,V3A 4R2
53.0,Metchosin,BC,British Columbia,CA,Kanada,V9
54.0,N. Vancouver,BC,British Columbia,CA,Kanada,V7L 4J4
55.0,Newton,BC,British Columbia,CA,Kanada,V2L3W8
56.0,Newton,BC,British Columbia,CA,Kanada,V2M1N7
57.0,Newton,BC,British Columbia,CA,Kanada,V2M1P1
58.0,Newton,BC,British Columbia,CA,Kanada,V2M1S6
59.0,Oak Bay,BC,British Columbia,CA,Kanada,V8P
60.0,Port Hammond,BC,British Columbia,CA,Kanada,V6B 3P7
61.0,Richmond,BC,British Columbia,CA,Kanada,V6B 3P7
62.0,Royal Oak,BC,British Columbia,CA,Kanada,V8X
63.0,Shawnee,BC,British Columbia,CA,Kanada,V8Z 4N5
64.0,Shawnee,BC,British Columbia,CA,Kanada,V9B 2C3
65.0,Shawnee,BC,British Columbia,CA,Kanada,V9B 5T2
66.0,Sooke,BC,British Columbia,CA,Kanada,V0
67.0,Surrey,BC,British Columbia,CA,Kanada,V3T 4W3
68.0,Vancouver,BC,British Columbia,CA,Kanada,V7L 4J4
69.0,Victoria,BC,British Columbia,CA,Kanada,V8V
70.0,Westminster,BC,British Columbia,CA,Kanada,V3L 1E7
71.0,Westminster,BC,British Columbia,CA,Kanada,V3L 1H4
72.0,Winnipeg,MB,Manitoba,CA,Kanada,R3
73.0,Saint John,NB,Brunswick,CA,Kanada,E2P 1E3
74.0,Aurora,ON,Ontario,CA,Kanada,L4G 7N6
75.0,Barrie,ON,Ontario,CA,Kanada,L4N
76.0,Brampton,ON,Ontario,CA,Kanada,L6W 2T7
77.0,Chalk Riber,ON,Ontario,CA,Kanada,K0J 1J0
78.0,Etobicoke,ON,Ontario,CA,Kanada,M9W 3P3
79.0,Kanata,ON,Ontario,CA,Kanada,K2L 1H5
80.0,Kingston,ON,Ontario,CA,Kanada,7L
81.0,Markham,ON,Ontario,CA,Kanada,L3S 3K2
82.0,Mississauga,ON,Ontario,CA,Kanada,L4W 5J3
83.0,Mississauga,ON,Ontario,CA,Kanada,L5A 1H6
84.0,Mississauga,ON,Ontario,CA,Kanada,L5B 3V4
85.0,Nepean,ON,Ontario,CA,Kanada,K2J 2W5
86.0,North York,ON,Ontario,CA,Kanada,M4C 4K6
87.0,Ottawa,ON,Ontario,CA,Kanada,K4B 1S1
88.0,Ottawa,ON,Ontario,CA,Kanada,K4B 1S2
89.0,Ottawa,ON,Ontario,CA,Kanada,K4B 1S3
90.0,Ottawa,ON,Ontario,CA,Kanada,K4B 1T7
91.0,Richmond Hill,ON,Ontario,CA,Kanada,L4E 3M5
92.0,Scarborough,ON,Ontario,CA,Kanada,M1V 4M2
93.0,Toronto,ON,Ontario,CA,Kanada,M4B 1V4
94.0,Toronto,ON,Ontario,CA,Kanada,M4B 1V5
95.0,Toronto,ON,Ontario,CA,Kanada,M4B 1V6
96.0,Toronto,ON,Ontario,CA,Kanada,M4B 1V7
97.0,Vancouver,ON,Ontario,CA,Kanada,V5T 1Y9
98.0,Waterloo,ON,Ontario,CA,Kanada,N2V
99.0,Weston,ON,Ontario,CA,Kanada,M9V 4W3
100.0,Brossard,QC,Quebec,CA,Kanada,J4Z 1C5
101.0,Brossard,QC,Quebec,CA,Kanada,J4Z 1R4
102.0,Dorval,QC,Quebec,CA,Kanada,H9P 1H1
103.0,Hull,QC,Quebec,CA,Kanada,8Y
104.0,Montreal,QC,Quebec,CA,Kanada,H1Y 2H3
105.0,Montreal,QC,Quebec,CA,Kanada,H1Y 2H5
106.0,Montreal,QC,Quebec,CA,Kanada,H1Y 2H7
107.0,Montreal,QC,Quebec,CA,Kanada,H1Y 2H8
108.0,Outremont,QC,Quebec,CA,Kanada,H1Y 2G5
109.0,Pnot-Rouge,QC,Quebec,CA,Kanada,J1E 2T7
110.0,Quebec,QC,Quebec,CA,Kanada,G1R
111.0,Sainte-Foy,QC,Quebec,CA,Kanada,G1W
112.0,Sillery,QC,Quebec,CA,Kanada,G1T
113.0,Ville De'anjou,QC,Quebec,CA,Kanada,J1G 2R3
114.0,Berlin,BB,Brandenburg,DE,Niemcy,14197
115.0,Eilenburg,BB,Brandenburg,DE,Niemcy,04838
116.0,Augsburg,BY,Bayern,DE,Niemcy,86150
117.0,Erlangen,BY,Bayern,DE,Niemcy,91054
118.0,Frankfurt,BY,Bayern,DE,Niemcy,91480
119.0,Grevenbroich,BY,Bayern,DE,Niemcy,41485
120.0,Hof,BY,Bayern,DE,Niemcy,95010
121.0,Ingolstadt,BY,Bayern,DE,Niemcy,85049
122.0,Bad Soden,HE,Hessen,DE,Niemcy,65800
123.0,Berlin,HE,Hessen,DE,Niemcy,12171
124.0,Berlin,HE,Hessen,DE,Niemcy,13441
125.0,Berlin,HE,Hessen,DE,Niemcy,14111
126.0,Berlin,HE,Hessen,DE,Niemcy,14129
127.0,Darmstadt,HE,Hessen,DE,Niemcy,64283
128.0,Dresden,HE,Hessen,DE,Niemcy,01071
129.0,Duesseldorf,HE,Hessen,DE,Niemcy,40434
130.0,Duesseldorf,HE,Hessen,DE,Niemcy,40605
131.0,Frankfurt,HE,Hessen,DE,Niemcy,60323
132.0,Hamburg,HE,Hessen,DE,Niemcy,22001
133.0,Kassel,HE,Hessen,DE,Niemcy,34117
134.0,München,HE,Hessen,DE,Niemcy,80074
135.0,Salzgitter,HE,Hessen,DE,Niemcy,38231
136.0,Ascheim,HH,Hamburg,DE,Niemcy,86171
137.0,Augsburg,HH,Hamburg,DE,Niemcy,86171
138.0,Berlin,HH,Hamburg,DE,Niemcy,10210
139.0,Berlin,HH,Hamburg,DE,Niemcy,10791
140.0,Berlin,HH,Hamburg,DE,Niemcy,12311
141.0,Berlin,HH,Hamburg,DE,Niemcy,14111
142.0,Bonn,HH,Hamburg,DE,Niemcy,53001
143.0,Bonn,HH,Hamburg,DE,Niemcy,53131
144.0,Essen,HH,Hamburg,DE,Niemcy,45001
145.0,Frankfurt am Main,HH,Hamburg,DE,Niemcy,60082
146.0,Frankfurt am Main,HH,Hamburg,DE,Niemcy,60355
147.0,Hamburg,HH,Hamburg,DE,Niemcy,20354
148.0,Muehlheim,HH,Hamburg,DE,Niemcy,63151
149.0,Mühlheim,HH,Hamburg,DE,Niemcy,63151
150.0,München,HH,Hamburg,DE,Niemcy,80074
151.0,Paderborn,HH,Hamburg,DE,Niemcy,33041
152.0,Berlin,NW,Nordrhein-Westfalen,DE,Niemcy,10501
153.0,Berlin,NW,Nordrhein-Westfalen,DE,Niemcy,14197
154.0,Bonn,NW,Nordrhein-Westfalen,DE,Niemcy,53131
155.0,Bottrop,NW,Nordrhein-Westfalen,DE,Niemcy,46236
156.0,Braunschweig,NW,Nordrhein-Westfalen,DE,Niemcy,38001
157.0,Hannover,NW,Nordrhein-Westfalen,DE,Niemcy,30601
158.0,Leipzig,NW,Nordrhein-Westfalen,DE,Niemcy,04139
159.0,München,NW,Nordrhein-Westfalen,DE,Niemcy,80074
160.0,Paderborn,NW,Nordrhein-Westfalen,DE,Niemcy,33098
161.0,Solingen,NW,Nordrhein-Westfalen,DE,Niemcy,42651
162.0,Werne,NW,Nordrhein-Westfalen,DE,Niemcy,59368
163.0,Berlin,SL,Saarland,DE,Niemcy,12171
164.0,Berlin,SL,Saarland,DE,Niemcy,12311
165.0,Berlin,SL,Saarland,DE,Niemcy,14197
166.0,Frankfurt am Main,SL,Saarland,DE,Niemcy,60061
167.0,Frankfurt am Main,SL,Saarland,DE,Niemcy,60075
168.0,Kiel,SL,Saarland,DE,Niemcy,24044
169.0,München,SL,Saarland,DE,Niemcy,48001
170.0,Münster,SL,Saarland,DE,Niemcy,48001
171.0,Neunkirchen,SL,Saarland,DE,Niemcy,66578
172.0,Offenbach,SL,Saarland,DE,Niemcy,63009
173.0,Poing,SL,Saarland,DE,Niemcy,66041
174.0,Saarbrücken,SL,Saarland,DE,Niemcy,66001
175.0,Saarlouis,SL,Saarland,DE,Niemcy,66740
176.0,Stuttgart,SL,Saarland,DE,Niemcy,70452
177.0,Stuttgart,SL,Saarland,DE,Niemcy,70511
178.0,Sulzbach Taunus,SL,Saarland,DE,Niemcy,66272
179.0,Saint Ouen,17,Charente-Maritime,FR,Francja,17490
180.0,Colomiers,31,Garonne (Haute),FR,Francja,31770
181.0,Aujan Mournede,32,Gers,FR,Francja,32300
182.0,Saint Ouen,41,Loir et Cher,FR,Francja,41100
183.0,Orleans,45,Loiret,FR,Francja,45000
184.0,Metz,57,Moselle,FR,Francja,57000
185.0,Croix,59,Nord,FR,Francja,59170
186.0,Dunkerque,59,Nord,FR,Francja,59140
187.0,Lille,59,Nord,FR,Francja,59000
188.0,Roncq,59,Nord,FR,Francja,59223
189.0,Roubaix,59,Nord,FR,Francja,59100
190.0,Villeneuve-d'Ascq,59,Nord,FR,Francja,59491
191.0,Boulogne-sur-Mer,62,Pas de Calais,FR,Francja,62200
192.0,Paris,75,Seine (Paris),FR,Francja,75002
193.0,Paris,75,Seine (Paris),FR,Francja,75003
194.0,Paris,75,Seine (Paris),FR,Francja,75005
195.0,Paris,75,Seine (Paris),FR,Francja,75006
196.0,Paris,75,Seine (Paris),FR,Francja,75007
197.0,Paris,75,Seine (Paris),FR,Francja,75008
198.0,Paris,75,Seine (Paris),FR,Francja,75009
199.0,Paris,75,Seine (Paris),FR,Francja,75010
200.0,Paris,75,Seine (Paris),FR,Francja,75012
201.0,Paris,75,Seine (Paris),FR,Francja,75013
202.0,Paris,75,Seine (Paris),FR,Francja,75016
203.0,Paris,75,Seine (Paris),FR,Francja,75017
204.0,Paris,75,Seine (Paris),FR,Francja,75019
205.0,Lieusaint,77,Seine et Marne,FR,Francja,77127
206.0,Roissy en Brie,77,Seine et Marne,FR,Francja,77680
207.0,Chatou,78,Yveline,FR,Francja,78400
208.0,Saint Germain en Laye,78,Yveline,FR,Francja,78100
209.0,Versailles,78,Yveline,FR,Francja,78000
210.0,Saint Ouen,80,Somme,FR,Francja,80610
211.0,Les Ulis,91,Essonne,FR,Francja,91940
212.0,Morangis,91,Essonne,FR,Francja,91420
213.0,Verrieres Le Buisson,91,Essonne,FR,Francja,91370
214.0,Boulogne-Billancourt,92,Hauts de Seine,FR,Francja,92100
215.0,Colombes,92,Hauts de Seine,FR,Francja,92700
216.0,Courbevoie,92,Hauts de Seine,FR,Francja,92400
217.0,Paris La Defense,92,Hauts de Seine,FR,Francja,92081
218.0,Sèvres,92,Hauts de Seine,FR,Francja,92310
219.0,Suresnes,92,Hauts de Seine,FR,Francja,92150
220.0,Bobigny,93,Seine Saint Denis,FR,Francja,93000
221.0,Drancy,93,Seine Saint Denis,FR,Francja,93700
222.0,Pantin,93,Seine Saint Denis,FR,Francja,93500
223.0,Saint-Denis,93,Seine Saint Denis,FR,Francja,93400
224.0,Tremblay-en-France,93,Seine Saint Denis,FR,Francja,93290
225.0,Orly,94,Val de Marne,FR,Francja,94310
226.0,Cergy,95,Val d'Oise,FR,Francja,95000
227.0,Abingdon,ENG,England,GB,Wielka Brytania,OX14 4SE
228.0,Basingstoke Hants,ENG,England,GB,Wielka Brytania,RG24 8PL
229.0,Berks,ENG,England,GB,Wielka Brytania,SL4 1RH
230.0,Berkshire,ENG,England,GB,Wielka Brytania,RG11 5TP
231.0,Billericay,ENG,England,GB,Wielka Brytania,CM11
232.0,Birmingham,ENG,England,GB,Wielka Brytania,B29 6SL
233.0,Bracknell,ENG,England,GB,Wielka Brytania,RG12 8TB
234.0,Bury,ENG,England,GB,Wielka Brytania,PE17
235.0,Cambridge,ENG,England,GB,Wielka Brytania,CB4 4BZ
236.0,Cheltenham,ENG,England,GB,Wielka Brytania,GL50
237.0,Esher-Molesey,ENG,England,GB,Wielka Brytania,EM15
238.0,Gateshead,ENG,England,GB,Wielka Brytania,GA10
239.0,Gloucestershire,ENG,England,GB,Wielka Brytania,GL7 1RY
240.0,High Wycombe,ENG,England,GB,Wielka Brytania,HP10 9QY
241.0,Kirkby,ENG,England,GB,Wielka Brytania,KB9
242.0,Lancaster,ENG,England,GB,Wielka Brytania,LA1 1LN
243.0,Leeds,ENG,England,GB,Wielka Brytania,LE18
244.0,London,ENG,England,GB,Wielka Brytania,C2H 7AU
245.0,London,ENG,England,GB,Wielka Brytania,E17 6JF
246.0,London,ENG,England,GB,Wielka Brytania,EC1R 0DU
247.0,London,ENG,England,GB,Wielka Brytania,SE1 8HL
248.0,London,ENG,England,GB,Wielka Brytania,SW19 3RU
249.0,London,ENG,England,GB,Wielka Brytania,SW1P 2NU
250.0,London,ENG,England,GB,Wielka Brytania,SW6 SBY
251.0,London,ENG,England,GB,Wielka Brytania,SW8 1XD
252.0,London,ENG,England,GB,Wielka Brytania,SW8 4BG
253.0,London,ENG,England,GB,Wielka Brytania,W10 6BL
254.0,London,ENG,England,GB,Wielka Brytania,W1N 9FA
255.0,London,ENG,England,GB,Wielka Brytania,W1V 5RN
256.0,London,ENG,England,GB,Wielka Brytania,W1X3SE
257.0,London,ENG,England,GB,Wielka Brytania,W1Y 3RA
258.0,Maidenhead,ENG,England,GB,Wielka Brytania,SL67RJ
259.0,Milton Keynes,ENG,England,GB,Wielka Brytania,MK8 8DF
260.0,Milton Keynes,ENG,England,GB,Wielka Brytania,MK8 8ZD
261.0,Newcastle upon Tyne,ENG,England,GB,Wielka Brytania,NT20
262.0,Oxford,ENG,England,GB,Wielka Brytania,OX1
263.0,Oxford,ENG,England,GB,Wielka Brytania,OX14 4SE
264.0,Oxon,ENG,England,GB,Wielka Brytania,OX16 8RS
265.0,Peterborough,ENG,England,GB,Wielka Brytania,PB12
266.0,Reading,ENG,England,GB,Wielka Brytania,RG7 5H7
267.0,Runcorn,ENG,England,GB,Wielka Brytania,TY31
268.0,Liverpool,ENG,England,GB,Wielka Brytania,L4 4HB
269.0,Stoke-on-Trent,ENG,England,GB,Wielka Brytania,AS23
270.0,W. York,ENG,England,GB,Wielka Brytania,BD1 4SJ
271.0,Warrington,ENG,England,GB,Wielka Brytania,WA1
272.0,Warrington,ENG,England,GB,Wielka Brytania,WA3 7BH
273.0,Watford,ENG,England,GB,Wielka Brytania,WA3
274.0,West Sussex,ENG,England,GB,Wielka Brytania,RH15 9UD
275.0,Wokingham,ENG,England,GB,Wielka Brytania,RG41 1QW
276.0,Woolston,ENG,England,GB,Wielka Brytania,WA1 4SY
277.0,York,ENG,England,GB,Wielka Brytania,Y024 1GF
278.0,York,ENG,England,GB,Wielka Brytania,Y03 4TN
279.0,York,ENG,England,GB,Wielka Brytania,YO15
280.0,Birmingham,AL,Alabama,US,USA,35203
281.0,Florence,AL,Alabama,US,USA,35630
282.0,Huntsville,AL,Alabama,US,USA,35801
283.0,Mobile,AL,Alabama,US,USA,36602
284.0,Montgomery,AL,Alabama,US,USA,36104
285.0,Chandler,AZ,Arizona,US,USA,85225
286.0,Gilbert,AZ,Arizona,US,USA,85233
287.0,Mesa,AZ,Arizona,US,USA,85201
288.0,Phoenix,AZ,Arizona,US,USA,85004
289.0,Scottsdale,AZ,Arizona,US,USA,85257
290.0,Surprise,AZ,Arizona,US,USA,85374
291.0,Tucson,AZ,Arizona,US,USA,85701
292.0,Alhambra,CA,California,US,USA,91801
293.0,Alpine,CA,California,US,USA,91901
294.0,Auburn,CA,California,US,USA,95603
295.0,Baldwin Park,CA,California,US,USA,91706
296.0,Barstow,CA,California,US,USA,92311
297.0,Bell Gardens,CA,California,US,USA,90201
298.0,Bellflower,CA,California,US,USA,90706
299.0,Berkeley,CA,California,US,USA,94704
300.0,Beverly Hills,CA,California,US,USA,90210
301.0,Burbank,CA,California,US,USA,91502
302.0,Burlingame,CA,California,US,USA,94010
303.0,Camarillo,CA,California,US,USA,93010
304.0,Canoga Park,CA,California,US,USA,91303
